"","dates","confirmed","recovered","deaths"
"1","1.22.20",0,0,0
"2","1.23.20",0,0,0
"3","1.24.20",0,0,0
"4","1.25.20",0,0,0
"5","1.26.20",0,0,0
"6","1.27.20",1,0,0
"7","1.28.20",4,0,0
"8","1.29.20",4,0,0
"9","1.30.20",4,0,0
"10","1.31.20",5,0,0
"11","2.1.20",8,0,0
"12","2.2.20",10,0,0
"13","2.3.20",12,0,0
"14","2.4.20",12,0,0
"15","2.5.20",12,0,0
"16","2.6.20",12,0,0
"17","2.7.20",13,0,0
"18","2.8.20",13,0,0
"19","2.9.20",14,0,0
"20","2.10.20",14,0,0
"21","2.11.20",16,0,0
"22","2.12.20",16,0,0
"23","2.13.20",16,1,0
"24","2.14.20",16,1,0
"25","2.15.20",16,1,0
"26","2.16.20",16,1,0
"27","2.17.20",16,1,0
"28","2.18.20",16,12,0
"29","2.19.20",16,12,0
"30","2.20.20",16,12,0
"31","2.21.20",16,14,0
"32","2.22.20",16,14,0
"33","2.23.20",16,14,0
"34","2.24.20",16,14,0
"35","2.25.20",17,14,0
"36","2.26.20",27,15,0
"37","2.27.20",46,16,0
"38","2.28.20",48,16,0
"39","2.29.20",79,16,0
"40","3.1.20",130,16,0
"41","3.2.20",159,16,0
"42","3.3.20",196,16,0
"43","3.4.20",262,16,0
"44","3.5.20",482,16,0
"45","3.6.20",670,17,0
"46","3.7.20",799,18,0
"47","3.8.20",1040,18,0
"48","3.9.20",1176,18,2
"49","3.10.20",1457,18,2
"50","3.11.20",1908,25,3
"51","3.12.20",2078,25,3
"52","3.13.20",3675,46,7
"53","3.14.20",4585,46,9
"54","3.15.20",5795,46,11
"55","3.16.20",7272,67,17
"56","3.17.20",9257,67,24
"57","3.18.20",12327,105,28
"58","3.19.20",15320,113,44
"59","3.20.20",19848,180,67
"60","3.21.20",22213,233,84
"61","3.22.20",24873,266,94
"62","3.23.20",29056,266,123
"63","3.24.20",32986,3243,157
"64","3.25.20",37323,3547,206
"65","3.26.20",43938,5673,267
